customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,age_group,purchase_frequency_days,estimated_clv,subscription_score,loyalty_score,customer_value_tier,purchase_norm,review_norm,previous_purchase_norm,subscription_numeric,customer_health_score,health_status,cluster,customer_segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,Middle-aged,14,795,10,24,Silver,0.4125000000000001,0.2400000000000002,0.26530612244897955,1,39.26,At Risk,0,At-Risk Customers
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,Young Adult,14,192,10,12,Bronze,0.55,0.2400000000000002,0.02040816326530612,1,37.41,At Risk,0,At-Risk Customers
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,Middle-aged,7,1752,10,33,Gold,0.6625000000000001,0.2400000000000002,0.44897959183673464,1,54.77,Average,1,High-Spending Customers
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,Young Adult,7,4500,10,59,Premium,0.875,0.40000000000000013,0.9795918367346937,1,82.39,Excellent,2,Premium Customers
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,Middle-aged,365,1568,10,41,Gold,0.36250000000000004,0.08000000000000007,0.6122448979591836,1,44.47,Average,3,Loyal Customers
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,Middle-aged,7,300,10,24,Bronze,0.0,0.15999999999999992,0.26530612244897955,1,21.16,At Risk,0,At-Risk Customers
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,Senior,90,4250,10,59,Premium,0.8125,0.28000000000000025,0.9795918367346937,1,77.49,Healthy,2,Premium Customers
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,Young Adult,7,680,10,29,Silver,0.17500000000000004,0.28000000000000025,0.36734693877551017,1,33.62,At Risk,0,At-Risk Customers
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,Young Adult,365,873,10,18,Silver,0.9625000000000001,0.040000000000000036,0.14285714285714285,1,53.59,Average,1,High-Spending Customers
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,Middle-aged,90,155,10,14,Bronze,0.1375,0.9199999999999999,0.061224489795918366,1,35.74,At Risk,0,At-Risk Customers
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,Middle-aged,14,918,10,36,Silver,0.17500000000000004,0.6399999999999999,0.510204081632653,1,45.11,Average,3,Loyal Customers
